datetime,provider,model_short_name,model_full_name,tier,multimodal,price_in,price_out,ctx,total,rows_with_values,rows_empty,total_elapsed_secs,total_prompt_tokens,total_completion_tokens,total_cost_usd,avg_secs_per_row,avg_cost_per_row,charity_number,charity_name,report_date,income_annually_in_british_pounds,spending_annually_in_british_pounds,address__postcode,address__post_town,address__street_line,batch_id
2026-03-06 19:09:36,OpenRouter,mistral-small-free,mistralai/mistral-small-3.1-24b-instruct:free,free,False,0,0,33000,11,0,11,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
2026-04-11 17:32:44,OpenRouter,mistral-small,mistralai/mistral-small-3.1-24b-instruct,ultra_cheap,False,0.1,0.3,33000,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,9,10,11,10,
2026-04-11 17:32:44,OpenRouter,nemotron-super-49b,nvidia/llama-3.3-nemotron-super-49b-v1.5,great_value,False,0.2,0.2,128000,11,10,1,0.0,0,0,0.0,0.0,0.0,10,10,10,9,9,9,10,10,
2026-04-11 17:32:44,OpenRouter,pixtral-large,mistralai/pixtral-large-2411,premium,True,2.0,6.0,128000,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,9,11,11,11,
2026-04-11 17:32:44,OpenRouter,qwen-2.5-72b,qwen/qwen-2.5-72b-instruct,great_value,False,0.3,0.8,33000,11,10,1,0.0,0,0,0.0,0.0,0.0,10,10,10,9,9,10,10,10,
2026-04-11 17:32:44,OpenRouter,qwen-2.5-7b,qwen/qwen-2.5-7b-instruct,ultra_cheap,False,0.04,0.1,33000,11,7,4,0.0,0,0,0.0,0.0,0.0,7,6,5,6,6,6,7,7,
2026-04-11 17:32:44,OpenRouter,qwen-2.5-vl-72b,qwen/qwen-2.5-vl-72b-instruct,great_value,True,0.8,0.8,33000,11,7,4,0.0,0,0,0.0,0.0,0.0,7,7,7,6,6,7,7,7,
2026-04-11 17:32:44,OpenRouter,qwen-2.5-vl-7b,qwen/qwen-2.5-vl-7b-instruct,ultra_cheap,True,0.04,0.1,33000,11,7,4,0.0,0,0,0.0,0.0,0.0,7,7,7,6,6,7,7,7,
2026-04-11 17:32:44,OpenRouter,qwen-coder-32b,qwen/qwen-2.5-coder-32b-instruct,great_value,False,0.1,0.2,33000,11,0,11,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
2026-04-11 17:32:44,OpenRouter,qwen3-235b,qwen/qwen3-235b-a22b,ultra_cheap,False,0.14,0.4,41000,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,10,10,11,11,
2026-03-06 20:20:42,OpenRouter,qwen3-vl-30b-thinking,qwen/qwen3-vl-30b-a3b-thinking,great_value,True,0.13,0.52,131000,11,11,0,1867.3,176660,108050,0.079152,169.75,0.007196,11,11,11,10,10,10,11,11,
2026-04-11 17:32:44,OpenRouter,qwen3-vl-30b,qwen/qwen3-vl-30b-a3b-instruct,great_value,True,0.13,0.52,131000,11,6,5,0.0,0,0,0.0,0.0,0.0,6,6,6,6,6,6,6,6,
2026-04-11 17:32:44,OpenRouter,qwen3-vl-8b,qwen/qwen3-vl-8b-instruct,ultra_cheap,True,0.08,0.5,131000,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,10,11,11,11,
2026-04-11 17:32:44,OpenRouter,pixtral-12b,pixtral-12b,,False,0,0,0,11,0,11,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
2026-04-11 17:32:45,OpenRouter,qwen3-vl-30b-free,qwen3-vl-30b-free,,False,0,0,0,11,0,11,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,
2026-04-11 18:40:47,V7,v7-claude-4-5-opus,V7 Go — Claude 4.5 Opus (claude_4_5_opus),v7-anthropic,True,0.0,0.0,200000,11,11,0,241.77,0,0,0.0,21.98,0.0,11,11,11,10,9,11,11,11,d81afc84-c6fc-4e29-aeb4-6dac5193f991
2026-04-11 16:53:48,V7,v7-go-agent-v2,v7-go-agent-v2,,False,0,0,0,11,11,0,5.89,0,0,0.0,0.54,0.0,11,11,11,9,9,11,11,11,1ee2f84f-0cda-4820-b546-c16d5c2e4195
2026-04-11 18:43:29,V7,v7-go-agent-v2__ai-complicated-task,v7-go-agent-v2__ai-complicated-task,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__ai-default,v7-go-agent-v2__ai-default,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__ai-fast,v7-go-agent-v2__ai-fast,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__ai-large-input,v7-go-agent-v2__ai-large-input,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,8,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__ai-tool-calling,v7-go-agent-v2__ai-tool-calling,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__auto-llm,v7-go-agent-v2__auto-llm,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__claude-4-5-haiku,v7-go-agent-v2__claude-4-5-haiku,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__claude-4-5-sonnet,v7-go-agent-v2__claude-4-5-sonnet,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__claude-4-6-opus,v7-go-agent-v2__claude-4-6-opus,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__claude-4-sonnet,v7-go-agent-v2__claude-4-sonnet,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,10,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__claude-sonnet,v7-go-agent-v2__claude-sonnet,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,10,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gemini-2-0-flash-lite,v7-go-agent-v2__gemini-2-0-flash-lite,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gemini-2-5-flash-lite,v7-go-agent-v2__gemini-2-5-flash-lite,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gemini-2-5-flash,v7-go-agent-v2__gemini-2-5-flash,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gemini-2-5-pro,v7-go-agent-v2__gemini-2-5-pro,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gemini-3-1-flash-lite,v7-go-agent-v2__gemini-3-1-flash-lite,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gemini-flash,v7-go-agent-v2__gemini-flash,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gemini-pro,v7-go-agent-v2__gemini-pro,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gpt4-1-mini,v7-go-agent-v2__gpt4-1-mini,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gpt4-1-nano,v7-go-agent-v2__gpt4-1-nano,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gpt4-1,v7-go-agent-v2__gpt4-1,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,10,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gpt5-1,v7-go-agent-v2__gpt5-1,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gpt5-2,v7-go-agent-v2__gpt5-2,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gpt5-4,v7-go-agent-v2__gpt5-4,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gpt5-mini,v7-go-agent-v2__gpt5-mini,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gpt5-nano,v7-go-agent-v2__gpt5-nano,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,11,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__gpt5,v7-go-agent-v2__gpt5,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,10,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__hub,v7-go-agent-v2__hub,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__o3-mini,v7-go-agent-v2__o3-mini,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__o3,v7-go-agent-v2__o3,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,9,9,11,11,11,
2026-04-11 18:43:29,V7,v7-go-agent-v2__o4-mini,v7-go-agent-v2__o4-mini,,False,0,0,0,11,11,0,0.0,0,0,0.0,0.0,0.0,11,11,11,10,9,11,11,11,
